Month                                                                                                                                                                                                                                                            Total_Sales
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------
2022-01                                                                                                                                                                                                                                                          22635.00
2022-02                                                                                                                                                                                                                                                          16110.00
2022-03                                                                                                                                                                                                                                                          23455.00
2022-04                                                                                                                                                                                                                                                          28535.00
2022-05                                                                                                                                                                                                                                                          24480.00
2022-06                                                                                                                                                                                                                                                          20700.00
2022-07                                                                                                                                                                                                                                                          22195.00
2022-08                                                                                                                                                                                                                                                          21075.00
2022-09                                                                                                                                                                                                                                                          61620.00
2022-10                                                                                                                                                                                                                                                          67735.00
2022-11                                                                                                                                                                                                                                                          68915.00
2022-12                                                                                                                                                                                                                                                          71880.00
2023-01                                                                                                                                                                                                                                                          23790.00
2023-02                                                                                                                                                                                                                                                          25170.00
2023-03                                                                                                                                                                                                                                                          20530.00
2023-04                                                                                                                                                                                                                                                          21925.00
2023-05                                                                                                                                                                                                                                                          27010.00
2023-06                                                                                                                                                                                                                                                          24555.00
2023-07                                                                                                                                                                                                                                                          35925.00
2023-08                                                                                                                                                                                                                                                          28270.00
2023-09                                                                                                                                                                                                                                                          67560.00
2023-10                                                                                                                                                                                                                                                          57880.00
2023-11                                                                                                                                                                                                                                                          57135.00
2023-12                                                                                                                                                                                                                                                          69145.00

(24 rows affected)


Completion time: 2024-10-07T20:55:39.9254029+05:30
